NOMBRE;CAPITAL;BANDERA;POBLACION;MAPA
AFGANISTAN;KABUL;https://www.ecured.cu/images/f/f5/Bandera_de_Afganistan.jpg;27 611 000;https://images.mapsofworld.com/wp-content/uploads/2014/08/afghanistan-political-map.jpg
ALBANIA;TIRANA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/albania_250.jpg;2 874 000;https://espanol.mapsofworld.com/wp-content/uploads/2014/08/albania-political-map.jpg
ALEMANIA;BERL�N;https://i.pinimg.com/736x/94/fd/66/94fd6692e260f24e30ebe78a13fe9ad5.jpg;82 605 000;https://images.mapsofworld.com/wp-content/uploads/2011/09/Germany-Poltical-Map.jpg
ANDORRA;ANDORRA LA VIEJA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/andorra_250.jpg;79 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/mapa-de-andorra.jpg
ANGOLA;LUANDA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/angola_250.jpg;28 276 000;https://espanol.mapsofworld.com/wp-content/uploads/2012/12/mapa-de-angola.jpg
ANTIGUA Y BARBUDA;SAINT JOHN'S;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Antigua-barbuda_250.jpg;91 000;https://espanol.mapsofworld.com/wp-content/uploads/2014/08/antigua-barbuda-political-map.jpg
ARABIA SAUDITA;RIAD;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/arabia-saudita_250.jpg;32 620 000;https://images.mapsofworld.com/wp-content/uploads/2014/12/arabia-saudita-mapa-pol%C3%ADtico.jpg
ARGELIA;ARGEL;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Argelia_250.jpg;41 323 000;https://espanol.mapsofworld.com/wp-content/uploads/2012/09/mapa-de-argelia.jpg
ARGENTINA;BUENOS AIRES;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/argentina_250.jpg;43 823 000;https://espanol.mapsofworld.com/wp-content/uploads/2011/09/mapa-de-argentina.gif
ARMENIA;EREV�N;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/armenia_250.jpg;2 993 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/armenia-mapa.jpg
